staff_classification,oneroster_role
6A,teacher
6B,teacher
6C,teacher
6D,teacher
6E,teacher
7A,teacher
7B,teacher
7C,teacher
7D,teacher
7E,teacher
8A,teacher
8B,teacher
8C,teacher
8D,teacher
8E,teacher
8S,teacher
AA,administrator
AD,teacher
AP,administrator
CF,administrator
CU,administrator
DF,administrator
DL,teacher
DM,administrator
DS,administrator
EA,teacher
EL,teacher
EM,teacher
EP,teacher
ES,administrator
ET,teacher
FO,administrator
FS,administrator
G1,teacher
G2,teacher
G3,teacher
G4,teacher
G5,teacher
GI,teacher
GP,administrator
HA,teacher
HB,teacher
HC,teacher
HE,teacher
HF,teacher
HG,teacher
HH,teacher
HR,administrator
HS,teacher
IA,administrator
IC,teacher
KG,teacher
LB,teacher
MA,administrator
ML,administrator
NO,administrator
OI,administrator
PH,teacher
PK,teacher
PR,administrator
PS,administrator
PW,administrator
RO,teacher
RS,teacher
RT,teacher
SA,administrator
SC,administrator
SF,teacher
SH,administrator
SI,teacher
SL,administrator
SN,administrator
SR,administrator
ST,teacher
SU,teacher
SW,administrator
TA,teacher
TH,administrator
TI,administrator
UN,administrator
VO,teacher
VP,administrator
VT,teacher
WL,teacher
Not sent by SIS, teacher
